post_id,t,R_obs,R_fit,I_fit,S_fit
1424978572997439.0,0,0,0.0,4.0,157.99992100200382
1424978572997439.0,1,4,4.779531922616254,3.5304236170271777,153.6899654623604
1424978572997439.0,2,10,8.936590214879878,3.0262953471119505,150.037035440012
1424978572997439.0,3,12,12.45656306297605,2.5314628554208105,147.011895083607
1424978572997439.0,4,18,15.37148402770189,2.07546700126836,144.5529699730336
1424978572997439.0,5,21,17.74200403484288,1.674280426255577,142.58363654090542
1424978572997439.0,6,21,19.641977741745286,1.333342326798794,141.0246009334598
1424978572997439.0,7,21,21.147363973012997,1.0510972103458773,139.80145981864501
1424978572997439.0,8,22,22.329368046775055,0.8220432254937601,138.84850972973507
1424978572997439.0,9,22,23.25093395498416,0.6389490753487369,138.11003797167098
1424978572997439.0,10,22,23.965526317706605,0.49427108307241574,137.54012360122485
1424978572997439.0,11,22,24.51729401100397,0.3809492812683713,137.10167770973152
1424978572997439.0,12,23,24.941955321778885,0.2927804050692955,136.7651852751557
1424978572997439.0,13,24,25.267976326082234,0.22453082309267075,136.50741385282896
1424978572997439.0,14,24,25.517791172112865,0.17190545904212973,136.31022437084886
1424978572997439.0,15,24,25.708932986890833,0.1314476057439945,136.15954040936901
1424978572997439.0,16,24,25.85501868843531,0.10041418071474989,136.0444881328538
1424978572997439.0,17,24,25.96657368248184,0.07665073807477228,135.95669658144723
1424978572997439.0,18,24,26.051704623993285,0.05847802375340935,135.88973835425716
1424978572997439.0,19,25,26.116638313985444,0.0445945971386773,135.83868809087974
1424978572997439.0,20,25,26.166147776355167,0.03399612417801787,135.79977710147068
1424978572997439.0,21,25,26.20388595456299,0.02591003747479112,135.77012500996608
1424978572997439.0,22,25,26.2326452392272,0.01974349228538201,135.74753227049126
1424978572997439.0,23,25,26.254558267733486,0.015042391764890306,135.73032034250548
1424978572997439.0,24,25,26.271252684177696,0.011459398158589268,135.71720891966757
1424978572997439.0,25,25,26.28397006893767,0.008729113705296198,135.70722181936088
1424978572997439.0,26,25,26.29365713310081,0.006648912701081007,135.69961495620197
1424978572997439.0,27,26,26.301035529942087,0.005064188774638186,135.69382128328712
1424978572997439.0,28,26,26.306655230231264,0.0038570296043665313,135.6894087421682
1424978572997439.0,29,26,26.310935292240845,0.00293753966473983,135.68604817009825
1424978572997439.0,30,26,26.314194980890825,0.002237201596776326,135.68348881951624
1424978572997439.0,31,26,26.31667750750995,0.0017038028856650694,135.68153969160824
1424978572997439.0,32,26,26.318568132563698,0.0012975620260507208,135.6800553074141
1424978572997439.0,33,26,26.320007965494522,0.0009881724674126215,135.67892486404193
1424978572997439.0,34,26,26.32110448190373,0.0007525479945753738,135.67806397210555
1424978572997439.0,35,27,26.32193953747215,0.0005731037349886471,135.6774083607967
1424978572997439.0,36,27,26.32257547358407,0.0004364459118122902,135.67690908250796
1424978572997439.0,37,27,26.32305976856898,0.0003323733631483572,135.67652886007173
1424978572997439.0,38,27,26.323428580713568,0.0002531167677232004,135.67623930452257
1424978572997439.0,39,27,26.323709446930472,0.00019275905821678944,135.67601879601517
1424978572997439.0,40,27,26.3239233382047,0.00014679391167508494,135.67585086988748
1424978572997439.0,41,27,26.324086225072527,0.00011178944644155115,135.6757229874849
1424978572997439.0,42,27,26.324210269896543,8.513207008619397e-05,135.67562560003725
1424978572997439.0,43,27,26.32430473488831,6.483138406236456e-05,135.6755514357315
1424978572997439.0,44,27,26.324376673636845,4.937159622647689e-05,135.67549495677082
1424978572997439.0,45,27,26.324431457753874,3.7598357152161884e-05,135.67545194589286
1424978572997439.0,46,27,26.32447317794587,2.8632576657429903e-05,135.67541919148135
1424978572997439.0,47,27,26.324504949452315,2.1804788904259176e-05,135.67539424776265
1424978572997439.0,48,27,26.324529144652438,1.6605167243072585e-05,135.67537525218418
1424978572997439.0,49,27,26.324547570206295,1.2645457643284844e-05,135.67536078633992
1424978572997439.0,50,27,26.324561601955697,9.629988991755917e-06,135.67534977005917
1424978572997439.0,51,27,26.324572287657134,7.3335960094497124e-06,135.67534138075072
1424978572997439.0,52,27,26.324580425217192,5.584806527428556e-06,135.67533499198015
1424978572997439.0,53,27,26.324586622272044,4.253037852192478e-06,135.67533012669398
1424978572997439.0,54,27,26.324591341559596,3.2388462508395317e-06,135.67532642159802
1424978572997439.0,55,27,26.324594935472195,2.466501529409267e-06,135.67532360003014
1424978572997439.0,56,27,26.32459767236984,1.8783322731758292e-06,135.67532145130176
1424978572997439.0,57,27,26.324599756618717,1.430419521925342e-06,135.67531981496563
1424978572997439.0,58,27,26.324601343851313,1.0893173345888752e-06,135.67531856883522
1424978572997439.0,59,27,26.32460255258757,8.295553718641122e-07,135.67531761986092
1424978572997439.0,60,27,26.324603473084842,6.317370167459244e-07,135.675316897182
1424978572997439.0,61,27,26.324604174077454,4.810910206021981e-07,135.6753163468354
1424978572997439.0,62,27,26.324604707909153,3.6636852659269713e-07,135.6753159277262
1424978572997439.0,63,27,26.32460511444164,2.7900311124951654e-07,135.67531560855912
1424978572997439.0,64,27,26.324605424031077,2.1247112445649837e-07,135.67531536550166
1424978572997439.0,65,27,26.32460565979481,1.6180456428475278e-07,135.67531518040448
1424978572997439.0,66,27,26.324605839337547,1.232201129022645e-07,135.6753150394462
1424978572997439.0,67,27,26.324605976065925,9.383663352818649e-08,135.6753149321013
1424978572997439.0,68,27,26.324606080189596,7.146003380354634e-08,135.67531485035423
1424978572997439.0,69,27,26.324606159483587,5.4419431218466083e-08,135.67531478810085
1424978572997439.0,70,27,26.32460621986886,4.144238697846849e-08,135.6753147406926
1424978572997439.0,71,27,26.324606265854452,3.1559891949044025e-08,135.6753147045895
1424978572997439.0,72,27,26.324606300874162,2.40340099193914e-08,135.67531467709568
1424886489673314.0,0,0,0.0,1.0,28.999736418028142
1424886489673314.0,1,0,0.9135736644331214,0.8606506049390608,28.22551214865596
1424886489673314.0,2,2,1.6917577409286952,0.7256293654447084,27.58234931165474
1424886489673314.0,3,2,2.3422933708167695,0.6014958168899014,27.055947230321472
1424886489673314.0,4,4,2.877818648491859,0.4917608523893724,26.630156917146913
1424886489673314.0,5,4,3.3132096213368696,0.3976011520416914,26.288925644649584
1424886489673314.0,6,4,3.6636705432176537,0.31862991438378885,26.017435960426702
1424886489673314.0,7,4,3.943533082313968,0.2535521452333803,25.8026511904808
1424886489673314.0,8,4,4.165615886304343,0.20064760627202546,25.633472925451777
1424886489673314.0,9,4,4.340975594386691,0.15808930844267322,25.500671515198782
1424886489673314.0,10,4,4.478903525997699,0.12413178048402634,25.39670111154642
1424886489673314.0,11,4,4.587059176722221,0.09720748346892508,25.315469757837
1424886489673314.0,12,4,4.671666982893944,0.07596401389989964,25.2521054212343
1424886489673314.0,13,4,4.737730784640093,0.0592663076257955,25.202739325762256
1424886489673314.0,14,4,4.789240249112771,0.04618025524165358,25.164315913673722
1424886489673314.0,15,5,4.829356503084285,0.03594807921256743,25.134431835731295
1424886489673314.0,16,5,4.860572159550778,0.02796156115824902,25.111202697319122
1424886489673314.0,17,5,4.884845425583228,0.021736412233825442,25.093154580211095
1424886489673314.0,18,5,4.9037102900649785,0.01688934839765251,25.079136779565516
